Population_Size,Number_Interactions,Percentage_Masked,Hospitalization_Rate,recovered,susceptible,total_days,max_sick,max_hosptalized,max_sick_mask_wearers,total_mask_wearers
3000,0,1,0.4,3000,1,17,2616,1046.4,26,30
3000,0,2,0.4,2998,3,22,2604,1041.6000000000001,44,60
3000,0,3,0.4,2997,4,19,2546,1018.4000000000001,70,90
3000,0,4,0.4,2997,4,18,2504,1001.6,92,120
3000,0,5,0.4,2995,6,18,2567,1026.8,113,150
3000,0,6,0.4,2994,7,18,2523,1009.2,143,180
3000,0,7,0.4,2997,4,18,2520,1008.0,162,211
3000,0,8,0.4,2993,8,17,2514,1005.6,189,240
3000,0,9,0.4,2996,5,19,2551,1020.4000000000001,217,270
3000,0,10,0.4,2996,5,17,2476,990.4000000000001,224,300
3000,0,11,0.4,2994,7,17,2554,1021.6,258,330
3000,0,12,0.4,2996,5,17,2475,990.0,273,360
3000,0,13,0.4,2990,11,19,2517,1006.8000000000001,309,390
3000,0,14,0.4,2992,9,23,2452,980.8000000000001,323,421
3000,0,15,0.4,2989,12,20,2473,989.2,337,450
3000,0,16,0.4,2995,6,17,2486,994.4000000000001,389,480
3000,0,17,0.4,2982,19,19,2424,969.6,377,511
3000,0,18,0.4,2988,13,17,2514,1005.6,408,540
3000,0,19,0.4,2982,19,22,2439,975.6,436,570
3000,1,0,0.4,2999,2,16,2595,1038.0,0,0
3000,1,1,0.4,2998,3,16,2559,1023.6,25,30
3000,1,2,0.4,2999,2,16,2617,1046.8,45,60
3000,1,3,0.4,2998,3,16,2596,1038.4,71,90
3000,1,4,0.4,2996,5,17,2597,1038.8,97,120
3000,1,5,0.4,2997,4,16,2572,1028.8,120,150
3000,1,6,0.4,2996,5,18,2534,1013.6,139,180
3000,1,7,0.4,2999,2,17,2594,1037.6000000000001,168,211
3000,1,8,0.4,2991,10,18,2518,1007.2,181,240
3000,1,9,0.4,2995,6,19,2543,1017.2,205,270
3000,1,10,0.4,2994,7,18,2498,999.2,232,300
3000,1,11,0.4,2992,9,18,2496,998.4000000000001,250,330
3000,1,12,0.4,2986,15,18,2501,1000.4000000000001,275,360
3000,1,13,0.4,2995,6,18,2515,1006.0,294,390
3000,1,14,0.4,2994,7,20,2485,994.0,321,421
3000,1,15,0.4,2988,13,18,2464,985.6,342,450
3000,1,16,0.4,2990,11,19,2457,982.8000000000001,376,480
3000,1,17,0.4,2988,13,24,2450,980.0,391,511
3000,1,18,0.4,2989,12,20,2433,973.2,411,540
3000,1,19,0.4,2985,16,18,2398,959.2,438,570
3000,2,0,0.4,2998,3,19,2589,1035.6000000000001,0,0
3000,2,1,0.4,2999,2,19,2574,1029.6000000000001,29,30
3000,2,2,0.4,2996,5,17,2546,1018.4000000000001,52,60
3000,2,3,0.4,3000,1,17,2561,1024.4,70,90
3000,2,4,0.4,2995,6,18,2524,1009.6,90,120
3000,2,5,0.4,2995,6,17,2586,1034.4,116,150
3000,2,6,0.4,2997,4,18,2512,1004.8000000000001,143,180
3000,2,7,0.4,2997,4,19,2487,994.8000000000001,156,211
3000,2,8,0.4,2992,9,17,2540,1016.0,190,240
3000,2,9,0.4,2990,11,18,2475,990.0,201,270
3000,2,10,0.4,2989,12,17,2568,1027.2,241,300
3000,2,11,0.4,2993,8,19,2545,1018.0,260,330
3000,2,12,0.4,2990,11,19,2485,994.0,273,360
3000,2,13,0.4,2995,6,17,2530,1012.0,298,390
3000,2,14,0.4,2993,8,18,2452,980.8000000000001,322,421
3000,2,15,0.4,2994,7,19,2513,1005.2,352,450
3000,2,16,0.4,2997,4,19,2442,976.8000000000001,372,480
3000,2,17,0.4,2993,8,19,2446,978.4000000000001,387,511
3000,2,18,0.4,2986,15,20,2480,992.0,423,540
3000,2,19,0.4,2993,8,19,2462,984.8000000000001,441,570
3000,3,0,0.4,2998,3,16,2552,1020.8000000000001,0,0
3000,3,1,0.4,2999,2,17,2579,1031.6000000000001,27,30
3000,3,2,0.4,3001,0,16,2594,1037.6000000000001,46,60
3000,3,3,0.4,2996,5,18,2604,1041.6000000000001,72,90
3000,3,4,0.4,2997,4,17,2602,1040.8,101,120
3000,3,5,0.4,2994,7,18,2568,1027.2,111,150
3000,3,6,0.4,2993,8,18,2594,1037.6000000000001,150,180
